Victorian Electorates by Locality and Postcode,,,,,,,,,,
Count of Electors and Properties (households) for State Enrolled Electors ONLY as at 27 Mar 2020,,,,,,,,,,
Locality Name,"Post
Code","Municipality
Name","Ward
Name",LGA,"District
Name","District
Code","Region
Name","Region
Code","Property
Count","Elector
Count"
Allans Flat,3691,Indigo Shire Council,Unsubdivided,52601,Benambra,6,Northern Victoria,4,102,206
Allansford,3277,Moyne Shire Council,Unsubdivided,51801,South-West Coast,77,Western Victoria,8,106,191
Allansford,3277,Warrnambool City Council,Unsubdivided,52101,South-West Coast,77,Western Victoria,8,486,897
Allendale,3364,Hepburn Shire Council,Creswick,56404,Ripon,72,Western Victoria,8,75,133
Allestree,3305,Glenelg Shire Council,Unsubdivided,51701,South-West Coast,77,Western Victoria,8,88,132
Alma,3465,Central Goldfields Shire Council,Paddys Ranges,56303,Ripon,72,Western Victoria,8,94,151
Almonds,3727,Moira Shire Council,Unsubdivided,52901,Ovens Valley,65,Northern Victoria,4,7,14
Almurta,3979,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2,27,41
Alphington,3078,Darebin City Council,Rucker,50803,Northcote,63,Northern Metropolitan,3,1338,2384
Alphington,3078,Yarra City Council,Langridge,51301,Northcote,63,Northern Metropolitan,3,1006,1634
Altona,3018,Hobsons Bay City Council,Cherry Lake,50901,Altona,2,Western Metropolitan,7,5562,8163
Altona Meadows,3028,Hobsons Bay City Council,Cherry Lake,50901,Altona,2,Western Metropolitan,7,279,514
Altona Meadows,3028,Hobsons Bay City Council,Wetlands,50903,Altona,2,Western Metropolitan,7,7517,13007
Altona North,3025,Hobsons Bay City Council,Cherry Lake,50901,Altona,2,Western Metropolitan,7,1,1
Altona North,3025,Hobsons Bay City Council,Cherry Lake,50901,Williamstown,86,Western Metropolitan,7,4403,6737
Altona North,3025,Hobsons Bay City Council,Strand,50902,Williamstown,86,Western Metropolitan,7,1030,1693
Alvie,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8,64,105
Amherst,3371,Central Goldfields Shire Council,Paddys Ranges,56303,Ripon,72,Western Victoria,8,42,50
Amor,3825,Baw Baw Shire Council,East,53502,Narracan,58,Eastern Victoria,2,2,2
Amphitheatre,3468,Pyrenees Shire Council,Avoca,51901,Ripon,72,Western Victoria,8,16,28
Amphitheatre,3468,Pyrenees Shire Council,De Cameron,51903,Ripon,72,Western Victoria,8,108,170
Amphitheatre,3468,Pyrenees Shire Council,Ercildoune,51904,Ripon,72,Western Victoria,8,9,11
Anakie,3213,Golden Plains Shire Council,Unsubdivided,50501,Buninyong,16,Western Victoria,8,25,55
Anakie,3213,Greater Geelong City Council,Windermere,50604,Lara,43,Western Victoria,8,275,490
Ancona,3715,Mansfield Shire Council,Bonnie Doon,58001,Eildon,24,Northern Victoria,4,41,65
Anderson,3995,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2,13,15
Anglers Rest,3898,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2,11,15
Anglesea,3230,Surf Coast Shire Council,Anglesea,50101,Polwarth,67,Western Victoria,8,2128,2274
Annuello,3549,Swan Hill Rural City Council,Murray-Mallee,57003,Mildura,49,Northern Victoria,4,19,25
Antwerp,3414,Hindmarsh Shire Council,East,57301,Lowan,44,Western Victoria,8,12,16
Antwerp,3414,Hindmarsh Shire Council,North,57302,Lowan,44,Western Victoria,8,18,26
Apollo Bay,3233,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8,1251,1300
Appin,3579,Gannawarra Shire Council,Avoca,57201,Murray Plains,57,Northern Victoria,4,9,11
Appin South,3579,Gannawarra Shire Council,Avoca,57201,Murray Plains,57,Northern Victoria,4,2,3
Appin South,3579,Gannawarra Shire Council,Patchell,57203,Murray Plains,57,Northern Victoria,4,5,4
Appin South,3579,Loddon Shire Council,Boort,56501,Murray Plains,57,Northern Victoria,4,14,25
Apsley,3319,West Wimmera Shire Council,Unsubdivided,57501,Lowan,44,Western Victoria,8,173,249
Arapiles,3409,Horsham Rural City Council,Unsubdivided,56801,Lowan,44,Western Victoria,8,7,9
Ararat,3377,Ararat Rural City Council,Unsubdivided,51401,Ripon,72,Western Victoria,8,3764,5652
Arawata,3951,South Gippsland Shire Council,Strzelecki,53802,Gippsland South,36,Eastern Victoria,2,55,83
Arcadia,3631,Greater Shepparton City Council,Unsubdivided,52501,Euroa,27,Northern Victoria,4,99,164
Arcadia South,3631,Strathbogie Shire Council,Honeysuckle Creek,53101,Euroa,27,Northern Victoria,4,4,9
Arcadia South,3631,Strathbogie Shire Council,Lake Nagambie,53103,Euroa,27,Northern Victoria,4,32,61
Archdale,3475,Central Goldfields Shire Council,Flynn,56301,Ripon,72,Western Victoria,8,14,16
Archdale,3475,Northern Grampians Shire Council,Kara Kara,57402,Ripon,72,Western Victoria,8,4,7
Archdale Junction,3475,Central Goldfields Shire Council,Flynn,56301,Ripon,72,Western Victoria,8,6,7
Archerton,3723,Benalla Rural City Council,Unsubdivided,57901,Euroa,27,Northern Victoria,4,4,4
Archerton,3723,Wangaratta Rural City Council,South,52703,Ovens Valley,65,Northern Victoria,4,2,1
Archies Creek,3995,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2,26,35
Ardeer,3022,Brimbank City Council,Harvester,54202,St Albans,78,Western Metropolitan,7,1358,1875
Ardmona,3629,Greater Shepparton City Council,Unsubdivided,52501,Shepparton,75,Northern Victoria,4,188,325
Areegra,3480,Yarriambiack Shire Council,Warracknabeal,57603,Lowan,44,Western Victoria,8,12,24
Argyle,3523,Greater Bendigo City Council,Eppalock,50201,Euroa,27,Northern Victoria,4,139,199
Armadale,3143,Stonnington City Council,South,51203,Malvern,46,Southern Metropolitan,6,5112,6890
Armadale,3143,Stonnington City Council,South,51203,Prahran,68,Southern Metropolitan,6,143,202
Armstrong,3377,Ararat Rural City Council,Unsubdivided,51401,Ripon,72,Western Victoria,8,38,76
Armstrong Creek,3217,Greater Geelong City Council,Kardinia,50603,South Barwon,76,Western Victoria,8,2884,5101
Arnold,3551,Loddon Shire Council,Tarnagulla,56503,Ripon,72,Western Victoria,8,26,53
Arnold West,3551,Loddon Shire Council,Tarnagulla,56503,Ripon,72,Western Victoria,8,10,11
Arthurs Creek,3099,Nillumbik Shire Council,Bunjil,55802,Eildon,24,Northern Victoria,4,179,364
Arthurs Seat,3936,Mornington Peninsula Shire Council,Red Hill,55704,Nepean,61,Eastern Victoria,2,54,82
Arthurs Seat,3936,Mornington Peninsula Shire Council,Seawinds,55705,Nepean,61,Eastern Victoria,2,161,242
Ascot,3364,Ballarat City Council,North,50302,Ripon,72,Western Victoria,8,36,72
Ascot,3551,Greater Bendigo City Council,Whipstick,50203,Bendigo East,7,Northern Victoria,4,877,1673
Ascot Vale,3032,Moonee Valley City Council,Myrnong,55602,Essendon,26,Western Metropolitan,7,6910,10822
Ashbourne,3442,Macedon Ranges Shire Council,West,56603,Macedon,45,Northern Victoria,4,105,182
Ashburton,3147,Boroondara City Council,Solway,50709,Burwood,17,Southern Metropolitan,6,3146,5440
Ashwood,3147,Monash City Council,Mount Waverley,55502,Burwood,17,Southern Metropolitan,6,3036,4623
Aspendale,3195,Kingston City Council,South,54903,Mordialloc,52,South-Eastern Metropolitan,5,2904,5202
Aspendale Gardens,3195,Kingston City Council,South,54903,Mordialloc,52,South-Eastern Metropolitan,5,2262,4776
Athlone,3818,Baw Baw Shire Council,West,53503,Narracan,58,Eastern Victoria,2,55,93
Attwood,3049,Hume City Council,Meadow Valley,54803,Yuroke,88,Northern Metropolitan,3,1150,2533
Aubrey,3393,Yarriambiack Shire Council,Warracknabeal,57603,Lowan,44,Western Victoria,8,5,5
Auchmore,3570,Loddon Shire Council,Terrick,56504,Bendigo East,7,Northern Victoria,4,2,4
Avalon,3212,Greater Geelong City Council,Windermere,50604,Lara,43,Western Victoria,8,100,179
Avenel,3664,Mitchell Shire Council,North,52802,Euroa,27,Northern Victoria,4,6,14
Avenel,3664,Strathbogie Shire Council,Hughes Creek,53102,Euroa,27,Northern Victoria,4,526,821
Avoca,3467,Pyrenees Shire Council,Avoca,51901,Ripon,72,Western Victoria,8,685,988
Avon Plains,3477,Northern Grampians Shire Council,Central,57401,Ripon,72,Western Victoria,8,6,2
Avondale Heights,3034,Moonee Valley City Council,Rose Hill,55603,Niddrie,62,Western Metropolitan,7,4797,8850
Avonmore,3559,Greater Bendigo City Council,Whipstick,50203,Bendigo East,7,Northern Victoria,4,25,32
Avonsleigh,3782,Cardinia Shire Council,Ranges,54303,Gembrook,34,Eastern Victoria,2,339,642
Axe Creek,3551,Greater Bendigo City Council,Eppalock,50201,Bendigo East,7,Northern Victoria,4,150,311
Axedale,3551,Greater Bendigo City Council,Eppalock,50201,Bendigo East,7,Northern Victoria,4,306,545
Axedale,3551,Greater Bendigo City Council,Eppalock,50201,Euroa,27,Northern Victoria,4,41,70
Ayrford,3268,Corangamite Shire Council,South-West,51605,Polwarth,67,Western Victoria,8,6,13
Ayrford,3268,Moyne Shire Council,Unsubdivided,51801,Polwarth,67,Western Victoria,8,11,19
Bacchus Marsh,3340,Moorabool Shire Council,East Moorabool,50402,Melton,48,Western Victoria,8,3174,5190
Baddaginnie,3670,Benalla Rural City Council,Unsubdivided,57901,Euroa,27,Northern Victoria,4,153,260
Baddaginnie,3670,Strathbogie Shire Council,Honeysuckle Creek,53101,Euroa,27,Northern Victoria,4,15,24
Badger Creek,3777,Yarra Ranges Shire Council,Ryrie,56207,Eildon,24,Northern Victoria,4,646,1243
Bael Bael,3579,Gannawarra Shire Council,Avoca,57201,Murray Plains,57,Northern Victoria,4,5,7
Bagshot,3551,Greater Bendigo City Council,Whipstick,50203,Bendigo East,7,Northern Victoria,4,114,243
Bagshot North,3551,Greater Bendigo City Council,Whipstick,50203,Bendigo East,7,Northern Victoria,4,27,39
Bahgallah,3312,Glenelg Shire Council,Unsubdivided,51701,Lowan,44,Western Victoria,8,27,34
Bailieston,3608,Strathbogie Shire Council,Lake Nagambie,53103,Euroa,27,Northern Victoria,4,67,99
Bairnsdale,3875,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2,4063,5701
Bakery Hill,3350,Ballarat City Council,Central,50301,Buninyong,16,Western Victoria,8,90,120
Bakery Hill,3350,Ballarat City Council,Central,50301,Wendouree,84,Western Victoria,8,15,12
Balaclava,3183,Port Phillip City Council,Canal,51101,Caulfield,19,Southern Metropolitan,6,3083,3713
Bald Hills,3364,Ballarat City Council,North,50302,Ripon,72,Western Victoria,8,40,77
Bald Hills,3364,Hepburn Shire Council,Creswick,56404,Ripon,72,Western Victoria,8,6,13
Balintore,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8,34,40
Ballan,3342,Moorabool Shire Council,Central Moorabool,50401,Buninyong,16,Western Victoria,8,1409,2405
Ballangeich,3279,Moyne Shire Council,Unsubdivided,51801,Polwarth,67,Western Victoria,8,29,42
Ballangeich,3279,Moyne Shire Council,Unsubdivided,51801,South-West Coast,77,Western Victoria,8,6,5
Ballapur,3483,Buloke Shire Council,Mount Jeffcott,57103,Mildura,49,Northern Victoria,4,7,10
Ballarat Central,3350,Ballarat City Council,Central,50301,Wendouree,84,Western Victoria,8,3070,4095
Ballarat East,3350,Ballarat City Council,Central,50301,Buninyong,16,Western Victoria,8,1583,2351
Ballarat East,3350,Ballarat City Council,Central,50301,Wendouree,84,Western Victoria,8,884,1297
Ballarat East,3350,Ballarat City Council,South,50303,Buninyong,16,Western Victoria,8,452,701
Ballarat North,3350,Ballarat City Council,North,50302,Wendouree,84,Western Victoria,8,1936,3131
Ballendella,3561,Campaspe Shire Council,Rochester,52303,Murray Plains,57,Northern Victoria,4,31,61
Ballendella,3561,Campaspe Shire Council,Western,52305,Murray Plains,57,Northern Victoria,4,21,37
Balliang,3340,Greater Geelong City Council,Windermere,50604,Lara,43,Western Victoria,8,60,113
Balliang,3340,Moorabool Shire Council,Central Moorabool,50401,Buninyong,16,Western Victoria,8,46,96
Balliang East,3340,Moorabool Shire Council,Central Moorabool,50401,Buninyong,16,Western Victoria,8,55,121
Ballyrogan,3375,Ararat Rural City Council,Unsubdivided,51401,Ripon,72,Western Victoria,8,26,58
Balmattum,3666,Strathbogie Shire Council,Honeysuckle Creek,53101,Euroa,27,Northern Victoria,4,36,70
Balmattum,3666,Strathbogie Shire Council,Mount Wombat,53104,Euroa,27,Northern Victoria,4,11,17
Balmattum,3666,Strathbogie Shire Council,Seven Creeks,53105,Euroa,27,Northern Victoria,4,8,18
Balmoral,3407,Southern Grampians Shire Council,Unsubdivided,52001,Lowan,44,Western Victoria,8,165,234
Balnarring,3926,Mornington Peninsula Shire Council,Red Hill,55704,Hastings,37,Eastern Victoria,2,22,40
Balnarring,3926,Mornington Peninsula Shire Council,Red Hill,55704,Nepean,61,Eastern Victoria,2,985,1771
Balnarring Beach,3926,Mornington Peninsula Shire Council,Red Hill,55704,Nepean,61,Eastern Victoria,2,320,387
Balook,3971,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2,6,7
Balwyn,3103,Boroondara City Council,Cotham,50702,Kew,40,Southern Metropolitan,6,1089,1906
Balwyn,3103,Boroondara City Council,Maling,50707,Box Hill,10,Eastern Metropolitan,1,554,778
Balwyn,3103,Boroondara City Council,Maling,50707,Kew,40,Southern Metropolitan,6,662,941
Balwyn,3103,Boroondara City Council,Maranoa,50708,Box Hill,10,Eastern Metropolitan,1,2528,3778
Balwyn,3103,Boroondara City Council,Maranoa,50708,Kew,40,Southern Metropolitan,6,1064,1688
Balwyn North,3104,Boroondara City Council,Bellevue,50701,Kew,40,Southern Metropolitan,6,3741,6928
Balwyn North,3104,Boroondara City Council,Cotham,50702,Kew,40,Southern Metropolitan,6,1311,2064
Balwyn North,3104,Boroondara City Council,Maranoa,50708,Kew,40,Southern Metropolitan,6,2853,5001
Balwyn North,3104,Whitehorse City Council,Elgar,55902,Box Hill,10,Eastern Metropolitan,1,48,62
Balwyn North,3104,Whitehorse City Council,Elgar,55902,Kew,40,Southern Metropolitan,6,46,76
Bamawm,3561,Campaspe Shire Council,Rochester,52303,Murray Plains,57,Northern Victoria,4,12,25
Bamawm,3561,Campaspe Shire Council,Western,52305,Murray Plains,57,Northern Victoria,4,221,348
Bamawm Extension,3564,Campaspe Shire Council,Western,52305,Murray Plains,57,Northern Victoria,4,97,184
Bambra,3241,Surf Coast Shire Council,Winchelsea,50104,Polwarth,67,Western Victoria,8,53,85
Bamganie,3333,Golden Plains Shire Council,Unsubdivided,50501,Buninyong,16,Western Victoria,8,16,34
Bandiana,3691,Wodonga City Council,Unsubdivided,53301,Benambra,6,Northern Victoria,4,203,417
Bangerang,3393,Yarriambiack Shire Council,Warracknabeal,57603,Lowan,44,Western Victoria,8,27,46
Bangholme,3175,Greater Dandenong City Council,Red Gum,54703,Carrum,18,South-Eastern Metropolitan,5,446,564
Bangholme,3175,Greater Dandenong City Council,Red Gum,54703,Mordialloc,52,South-Eastern Metropolitan,5,72,157
Banksia Peninsula,3875,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2,18,21
Bannerton,3549,Swan Hill Rural City Council,Robinvale,57004,Mildura,49,Northern Victoria,4,20,25
Bannockburn,3331,Golden Plains Shire Council,Unsubdivided,50501,Polwarth,67,Western Victoria,8,2088,4138
Banyan,3485,Buloke Shire Council,Mallee,57102,Mildura,49,Northern Victoria,4,9,21
Banyena,3388,Northern Grampians Shire Council,Central,57401,Ripon,72,Western Victoria,8,12,21
Baranduda,3691,Wodonga City Council,Unsubdivided,53301,Benambra,6,Northern Victoria,4,1000,1941
Barfold,3444,Mount Alexander Shire Council,Coliban,56703,Macedon,45,Northern Victoria,4,42,68
Baringhup,3463,Mount Alexander Shire Council,Tarrengower,56705,Bendigo West,8,Northern Victoria,4,105,163
Baringhup West,3463,Mount Alexander Shire Council,Tarrengower,56705,Bendigo West,8,Northern Victoria,4,9,13
Barjarg,3723,Mansfield Shire Council,Bonnie Doon,58001,Eildon,24,Northern Victoria,4,7,15
Barjarg,3723,Mansfield Shire Council,Tolmie,58004,Eildon,24,Northern Victoria,4,58,106
Barkers Creek,3451,Mount Alexander Shire Council,Calder,56701,Bendigo West,8,Northern Victoria,4,198,348
Barkly,3384,Northern Grampians Shire Council,Central,57401,Ripon,72,Western Victoria,8,1,1
Barkly,3384,Pyrenees Shire Council,De Cameron,51903,Ripon,72,Western Victoria,8,32,38
Barkstead,3364,Moorabool Shire Council,Woodlands,50404,Buninyong,16,Western Victoria,8,19,32
Barmah,3639,Moira Shire Council,Unsubdivided,52901,Shepparton,75,Northern Victoria,4,165,215
Barnadown,3557,Greater Bendigo City Council,Whipstick,50203,Bendigo East,7,Northern Victoria,4,10,21
Barnawartha,3688,Indigo Shire Council,Unsubdivided,52601,Benambra,6,Northern Victoria,4,383,697
Barnawartha North,3691,Wodonga City Council,Unsubdivided,53301,Benambra,6,Northern Victoria,4,64,126
Baromi,3871,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,36,Eastern Victoria,2,61,92
Barongarook,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8,182,334
Barongarook West,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8,115,180
Barrabool,3221,Surf Coast Shire Council,Winchelsea,50104,South Barwon,76,Western Victoria,8,87,179
Barrakee,3525,Buloke Shire Council,Lower Avoca,57101,Ripon,72,Western Victoria,8,6,10
Barramunga,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8,12,13
Barraport,3537,Loddon Shire Council,Boort,56501,Murray Plains,57,Northern Victoria,4,19,22
Barraport West,3537,Loddon Shire Council,Boort,56501,Murray Plains,57,Northern Victoria,4,7,8
Barrys Reef,3458,Moorabool Shire Council,Woodlands,50404,Macedon,45,Northern Victoria,4,21,28
Barunah Park,3329,Golden Plains Shire Council,Unsubdivided,50501,Polwarth,67,Western Victoria,8,15,26
Barunah Plains,3329,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8,2,5
Barwidgee,3737,Alpine Shire Council,Unsubdivided,52201,Ovens Valley,65,Northern Victoria,4,45,77
Barwite,3722,Mansfield Shire Council,Tolmie,58004,Eildon,24,Northern Victoria,4,116,190
Barwon Downs,3243,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8,108,124
Barwon Heads,3227,Greater Geelong City Council,Bellarine,50601,Bellarine,5,Western Victoria,8,2122,3130
Basalt,3460,Hepburn Shire Council,Birch,56401,Macedon,45,Northern Victoria,4,11,19
Bass,3991,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2,197,337
Batesford,3213,Golden Plains Shire Council,Unsubdivided,50501,Polwarth,67,Western Victoria,8,235,545
Batesford,3213,Greater Geelong City Council,Windermere,50604,Lara,43,Western Victoria,8,91,221
Batesford,3213,Greater Geelong City Council,Windermere,50604,Polwarth,67,Western Victoria,8,7,13
Bathumi,3730,Moira Shire Council,Unsubdivided,52901,Ovens Valley,65,Northern Victoria,4,26,49
Baw Baw Village,3833,Unincorporated Land (victoria),Not Resident In Any Municipality,99901,Narracan,58,Eastern Victoria,2,3,3
Baxter,3911,Mornington Peninsula Shire Council,Watson,55706,Hastings,37,Eastern Victoria,2,975,1663
Baxter,3911,Mornington Peninsula Shire Council,Watson,55706,Mornington,53,Eastern Victoria,2,25,46
Bayindeen,3375,Ararat Rural City Council,Unsubdivided,51401,Ripon,72,Western Victoria,8,9,13
Bayles,3981,Cardinia Shire Council,Port,54302,Bass,3,Eastern Victoria,2,187,328
Baynton,3444,Macedon Ranges Shire Council,East,56601,Macedon,45,Northern Victoria,4,43,68
Baynton East,3444,Macedon Ranges Shire Council,East,56601,Macedon,45,Northern Victoria,4,4,4
Bayswater,3153,Knox City Council,Baird,55001,Bayswater,4,Eastern Metropolitan,1,756,1122
Bayswater,3153,Knox City Council,Collier,55003,Bayswater,4,Eastern Metropolitan,1,113,181
Bayswater,3153,Knox City Council,Dinsdale,55004,Bayswater,4,Eastern Metropolitan,1,4397,6828
Bayswater North,3153,Maroondah City Council,Arrabri,55301,Bayswater,4,Eastern Metropolitan,1,3657,6268
Bayswater North,3153,Maroondah City Council,Arrabri,55301,Croydon,22,Eastern Metropolitan,1,13,2
Beaconsfield,3807,Cardinia Shire Council,Ranges,54303,Gembrook,34,Eastern Victoria,2,2269,4716
Beaconsfield,3807,Casey City Council,Edrington,54402,Gembrook,34,Eastern Victoria,2,192,342
Beaconsfield Upper,3808,Cardinia Shire Council,Ranges,54303,Gembrook,34,Eastern Victoria,2,991,2087
Bealiba,3475,Central Goldfields Shire Council,Flynn,56301,Ripon,72,Western Victoria,8,136,162
Bearii,3641,Moira Shire Council,Unsubdivided,52901,Shepparton,75,Northern Victoria,4,105,135
Bears Lagoon,3517,Loddon Shire Council,Terrick,56504,Bendigo East,7,Northern Victoria,4,28,38
Beauchamp,3579,Gannawarra Shire Council,Avoca,57201,Murray Plains,57,Northern Victoria,4,13,19
Beauchamp,3579,Swan Hill Rural City Council,Lakes,57002,Murray Plains,57,Northern Victoria,4,2,2
Beaufort,3373,Pyrenees Shire Council,Beaufort,51902,Ripon,72,Western Victoria,8,867,1286
Beaumaris,3193,Bayside City Council,Southern,54103,Sandringham,74,Southern Metropolitan,6,5526,10310
Beazleys Bridge,3477,Northern Grampians Shire Council,Kara Kara,57402,Ripon,72,Western Victoria,8,11,20
Beeac,3251,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8,213,309
Beech Forest,3237,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8,76,67
Beechworth,3747,Indigo Shire Council,Unsubdivided,52601,Benambra,6,Northern Victoria,4,1945,3031
Beenak,3139,Yarra Ranges Shire Council,O'Shannassy,56206,Eildon,24,Northern Victoria,4,15,16
Belgrave,3160,Yarra Ranges Shire Council,Lyster,56204,Monbulk,51,Eastern Victoria,2,1598,2928
Belgrave Heights,3160,Yarra Ranges Shire Council,Lyster,56204,Monbulk,51,Eastern Victoria,2,495,1030
Belgrave South,3160,Yarra Ranges Shire Council,Lyster,56204,Monbulk,51,Eastern Victoria,2,582,1291
Bell Park,3215,Greater Geelong City Council,Brownbill,50602,Lara,43,Western Victoria,8,2454,3736
Bell Park,3215,Greater Geelong City Council,Windermere,50604,Lara,43,Western Victoria,8,201,370
Bell Post Hill,3215,Greater Geelong City Council,Brownbill,50602,Lara,43,Western Victoria,8,2178,3804
Bell Post Hill,3215,Greater Geelong City Council,Windermere,50604,Lara,43,Western Victoria,8,20,55
Bellarine,3223,Greater Geelong City Council,Bellarine,50601,Bellarine,5,Western Victoria,8,84,139
Bellbird Creek,3889,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2,1,1
Bellbrae,3228,Surf Coast Shire Council,Winchelsea,50104,South Barwon,76,Western Victoria,8,471,837
Bellbridge,3691,Towong Shire Council,Unsubdivided,53201,Benambra,6,Northern Victoria,4,178,325
Bellellen,3381,Northern Grampians Shire Council,South West,57403,Lowan,44,Western Victoria,8,24,46
Bellfield,3081,Banyule City Council,Olympia,54007,Ivanhoe,39,Eastern Metropolitan,1,828,1287
Bells Beach,3228,Surf Coast Shire Council,Torquay,50103,Polwarth,67,Western Victoria,8,9,2
Bells Beach,3228,Surf Coast Shire Council,Torquay,50103,South Barwon,76,Western Victoria,8,68,111
Belmont,3216,Greater Geelong City Council,Kardinia,50603,Geelong,33,Western Victoria,8,6709,10177
Belmont,3216,Greater Geelong City Council,Kardinia,50603,South Barwon,76,Western Victoria,8,138,236
Bemm River,3889,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2,52,60
Bena,3946,South Gippsland Shire Council,Strzelecki,53802,Gippsland South,36,Eastern Victoria,2,151,200
Benalla,3672,Benalla Rural City Council,Unsubdivided,57901,Euroa,27,Northern Victoria,4,5430,8348
Benambra,3900,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2,127,134
Benayeo,3319,West Wimmera Shire Council,Unsubdivided,57501,Lowan,44,Western Victoria,8,29,47
Bend Of Islands,3097,Nillumbik Shire Council,Sugarloaf,55805,Eildon,24,Northern Victoria,4,115,211
Bendigo,3550,Greater Bendigo City Council,Eppalock,50201,Bendigo East,7,Northern Victoria,4,360,492
Bendigo,3550,Greater Bendigo City Council,Whipstick,50203,Bendigo East,7,Northern Victoria,4,78,81
